CO2(g/s),Velocity(km/h),Acceleration(m/s2),EngineLoad(%),EngineRPM(rpm),ThrottlePosition(Manifold)(%),TurboBoost&VacuumGauge(psi), Altitude(m)
0,0,0,49.01960754,0,18.8235302,-0.34126377,242.189456
0,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.00095833,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.000941427,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.000531116,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.000483003,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.000686277,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.000378101,0,0,49.41176605,0,18.8235302,-0.34126377,242.189456
0.000385362,0,0,0,0,21.17647171,-0.34126377,242.189456
0.00039705,0,0,0,0,21.17647171,-0.34126377,242.189456
0,0,0,0,0,21.17647171,-0.34126377,242.189456
0.000716539,0,0,0,0,21.17647171,-0.34126377,242.189456
6.62298E-05,0,0,0,0,21.17647171,-0.34126377,242.189456
0.000298272,0,0,0,0,21.17647171,-0.34126377,242.189456
0.000289136,0,0,0,0,21.17647171,-0.34126377,242.189456
0,0,0,0,0,20.7843132,-0.34126377,242.189456
0,0,0,3.52941179,1771.75,12.15686321,-4.25728226,242.189456
0.000673224,0,0,16.47058868,1373.25,12.54901981,-11.65420723,242.189456
0,0,0,36.07843018,895.75,12.54901981,-11.21909428,242.189456
0.001983451,0,0,40.7843132,810.5,13.33333397,-10.78398132,242.189456
0.001059498,0,0,39.60784531,820,13.72549057,-10.05879211,242.189456
0.057667515,0,0,33.33333206,863,14.11764717,-9.47864151,242.189456
0.231863595,0,0,38.82352829,774.25,13.33333397,-9.62367916,242.189456
0.483471244,0,0,35.68627548,795.75,13.33333397,-9.33360291,242.189456
0.546785064,0,0,32.94117737,783.75,13.33333397,-9.62367916,242.189456
0.541760151,0,0,30.98039246,789.75,12.94117641,-9.62367916,242.189456
0.467573405,0,0,30.98039246,779.5,12.54901981,-9.91375446,242.189456
